Day,日付,曜日,投稿時間目安,備考,投稿内容
1,2026/1/10,土,21:13,講座スタート / 生成AI編（section-01〜02）,"こんばんは！🌟

本日1/10よりAI×GAS短期講座がスタートしました！
お忙しい中、ご参加いただきありがとうございます。

まずは「生成AIとは何か」から学んでいきましょう。
今日の学習コンテンツはこちらです👇

📖 生成AIとは？
→ AIの基本的な定義、学習の仕組み、得意なこと・苦手なことを解説しています
https://ai-gas-course.pages.dev/生成AI/section-01.html

📖 ChatGPTでできること
→ 文章作成、アイデア出し、要約・翻訳、コード生成など12種類の活用例を紹介
https://ai-gas-course.pages.dev/生成AI/section-02.html

今日から三連休ですね！🎉
お時間のあるときに、ゆっくり見てみてください。

ロードマップで全体の流れと進捗管理ができます👇
https://ai-gas-course.pages.dev/roadmap.html

わからないことがあれば、全体チャットや個別チャットで気軽に質問してくださいね。
1ヵ月間、一緒に頑張っていきましょう！💪"
2,2026/1/11,日,13:27,生成AI編（section-03〜05）,"こんにちは！

講座2日目、三連休の中日ですね。
昨日のDay 1は確認できましたか？

今日の学習コンテンツはこちらです👇

📖 ChatGPTにやらせてはいけないこと
→ 個人情報・機密情報の扱い、ハルシネーション対策など、安全に使うためのポイント
https://ai-gas-course.pages.dev/生成AI/section-03.html

📖 ChatGPTの始め方
→ アカウント登録の手順をスクショ付きで解説。まだの方はここから！
https://ai-gas-course.pages.dev/生成AI/section-04.html

📖 ChatGPTの基本的な使い方
→ メッセージの送り方、回答の修正依頼、会話の続け方を学びます
https://ai-gas-course.pages.dev/生成AI/section-05.html

「やらせてはいけないこと」は実務で使う前に必ず押さえておきたい内容です。
ぜひ目を通しておいてください！

自分のペースで大丈夫ですよ ✅"
3,2026/1/12,月,10:08,生成AI編完了（section-06〜07）,"おはようございます！

講座3日目、三連休最終日ですね。
今日で生成AI編が完了します🎉

今日の学習コンテンツはこちらです👇

📖 AIにうまく指示する4つのコツ
→ 「役割を与える」「事前情報を提供」「スクショを活用」など、結果が変わる指示テクニック
https://ai-gas-course.pages.dev/生成AI/section-06.html

📖 ChatGPTの便利機能
→ プロジェクト管理、メモリ機能、ファイルアップロードなど、知っておくと便利な機能
https://ai-gas-course.pages.dev/生成AI/section-07.html

特に「4つのコツ」は、この講座の核となる内容です。
同じ質問でも、指示の出し方で回答の質が大きく変わります！

ここまで進めた方、素晴らしいです👏
明日からはいよいよGAS編に入っていきますよ。

質問があれば、ここや全体チャットや個別チャットでどうぞ！"
3,2026/1/12,月,13:15,【追加】励まし + リアクション導入,"こんにちは！

三連休、学習お疲れ様です🙌

「ちゃんとついていけてるかな…」
と不安になっている方もいるかもしれません。

でも大丈夫。
この講座は「完璧に理解する」ことが目的じゃありません。

「なんとなくわかった」「触ってみた」
それだけで十分です。

わからないところは後から何度でも見返せます。
自分のペースで進めていきましょう💪

---
💡 **Discordのリアクション機能、使ってみてね！**

この投稿の下にある絵文字ボタンで
反応を送ることができます。

読んだよ！という方は👍
今日も頑張るぞ！という方は🔥

押してもらえると僕も嬉しいです😊"
4,2026/1/13,火,20:23,GAS編スタート（section-01〜02）+ 日報開始告知,"こんばんは！

講座4日目、今日からGAS編がスタートします⚙️

今日の学習コンテンツはこちらです👇

📖 GASとは？
→ Google Apps Scriptの概要と、Googleサービスを自動化できる理由を解説
https://ai-gas-course.pages.dev/GAS/section-01.html

📖 GASの始め方
→ スクリプトエディタの開き方、最初のコードを書いて実行する手順
https://ai-gas-course.pages.dev/GAS/section-02.html

GASは「プログラミング未経験でも使える自動化ツール」です。
まずは触ってみることが大切！

---

📝 **今日から日報を始めます！**

学習した日だけでOKなので、以下のテンプレートで
**個別チャット（DM）** に報告してください！

【日報テンプレート】
📅 今日やったこと: Day ○
❓ つまずいた点・質問:
💡 感想・気づき:
📝 明日の予定:

進捗を把握して、より良いサポートをするための日報です。
気軽に報告してくださいね！

質問があればいつでもどうぞ💪"
5,2026/1/14,水,20:47,GAS編（section-03〜04）,"こんばんは！

講座5日目です。
GAS編、順調に進んでいますか？

今日の学習コンテンツはこちらです👇

📖 GASでできること
→ メール自動送信、スプレッドシート操作、カレンダー連携など具体例を紹介
https://ai-gas-course.pages.dev/GAS/section-03.html

📖 GASの得意なこと・苦手なこと
→ どんな場面で使うと効果的か、逆に向いていない処理は何かを解説
https://ai-gas-course.pages.dev/GAS/section-04.html

「GASでできること」を知ると、
「あ、これ自動化できそう」というアイデアが浮かびやすくなります！

日報、送ってくれている方ありがとうございます📝
まだの方も、今日からでも全然OKですよ！"
6,2026/1/15,木,19:38,GAS編完了（section-05〜06）,"こんばんは！

講座6日目、今日でGAS編が完了します🎉

今日の学習コンテンツはこちらです👇

📖 GASの知っておくべき制限
→ 実行時間の上限、API呼び出し回数など、知らないとハマるポイント
https://ai-gas-course.pages.dev/GAS/section-05.html

📖 GASが動くまでの流れ
→ コードを書いてから実行されるまでの仕組みを図解で説明
https://ai-gas-course.pages.dev/GAS/section-06.html

「制限」は少し地味な内容ですが、
実際にツールを作るときに必ず役立つ知識です。

これで生成AI編とGAS編の基礎が完了！
明日からは「AIでツールを作るときの考え方」を学びます。

いよいよ実践に向けた準備が整ってきましたね💪"
6,2026/1/15,木,21:33,【追加】経験談①（プログラミング知識ゼロからスタート）,"こんばんは！

今日はちょっと僕の話をさせてください。

実は僕も、AI×自動化を始めたときは
プログラミング知識ゼロでした。

最初にやったのは、
スプレッドシートの関数をAIに作ってもらうこと。

「このセルとこのセルを使って、
　こういう計算がしたいんだけど…」

みたいな感じで、ざっくり伝えるだけ。
そしたらAIが関数を作ってくれました。

VLOOKUPとか、関数の名前すら知らなかったです（笑）

皆さんが今やっていることと、同じです。
だから「難しそう」と思っても、大丈夫。

僕が通ってきた道を、今皆さんも歩いています。
一緒に頑張りましょう💪"
7,2026/1/16,金,21:15,Week1終了 / 基本的な考え方（section-01〜03）,"こんばんは！

講座7日目、Week 1の最終日です🎉

今日の学習コンテンツはこちらです👇

📖 棚卸作業
→ 「何を自動化するか」を整理する最初のステップ
https://ai-gas-course.pages.dev/基本的な考え方/section-01.html

📖 1発で完成しない
→ AIとのやり取りは「トライ&エラー」が前提という心構え
https://ai-gas-course.pages.dev/基本的な考え方/section-02.html

📖 修正依頼は1回に1個
→ 効率的にAIに修正をお願いするコツ
https://ai-gas-course.pages.dev/基本的な考え方/section-03.html

この3つは、実践編で何度も使う考え方です。
特に「1発で完成しない」は、最初のうちは意識して取り組んでみてください！

---

🎊 **Week 1 お疲れ様でした！**

生成AI編 → GAS編 → 基本的な考え方
この1週間で、土台がしっかり固まりました。

来週からはいよいよ実践編スタートです！
週末はゆっくり休んで、また来週頑張りましょう✨"
8,2026/1/17,土,10:41,Week2スタート / ウォーミングアップ（warmup-01〜04）,"おはようございます！

講座8日目、Week 2スタートです🔥
今日からいよいよ実践に入っていきます！

まずは「ウォーミングアップ」として、
ChatGPTでスプレッドシートの関数を作ってみましょう👇

📖 関数とGASの違い
→ どちらを使うべきかの判断基準を解説
https://ai-gas-course.pages.dev/実践編/warmup-section-01.html

📖 関数を作ってみよう（簡単）
→ まずはシンプルな関数を作成
https://ai-gas-course.pages.dev/実践編/warmup-section-02.html

📖 条件付き集計（普通）
→ 少し複雑な条件を含む関数に挑戦
https://ai-gas-course.pages.dev/実践編/warmup-section-03.html

📖 複数シート連携（応用）
→ シートをまたいだ処理を関数で実現
https://ai-gas-course.pages.dev/実践編/warmup-section-04.html

ボリュームがありますが、できるところまでで大丈夫です！
「ChatGPTにお願いするとコードが出てくる」体験をしてみてください。

週末なのでゆっくりペースでOKですよ✨"
